qtrMinute,Minute (bin),Minute,Number of Records,Qtr,Season,Touchdowns (copy),Touchdowns
Q1 - 0,0,0,1,Quarter 1,2009,5,5
Q1 - 1,0,1,1,Quarter 1,2009,6,6
Q1 - 2,0,2,1,Quarter 1,2009,10,10
Q1 - 3,3,3,1,Quarter 1,2009,12,12
Q1 - 4,3,4,1,Quarter 1,2009,17,17
Q1 - 5,3,5,1,Quarter 1,2009,12,12
Q1 - 6,6,6,1,Quarter 1,2009,16,16
Q1 - 7,6,7,1,Quarter 1,2009,22,22
Q1 - 8,6,8,1,Quarter 1,2009,17,17
Q1 - 9,9,9,1,Quarter 1,2009,24,24
Q1 - 10,9,10,1,Quarter 1,2009,10,10
Q1 - 11,9,11,1,Quarter 1,2009,16,16
Q1 - 12,12,12,1,Quarter 1,2009,22,22
Q1 - 13,12,13,1,Quarter 1,2009,30,30
Q1 - 14,12,14,1,Quarter 1,2009,14,14
Q1 - 15,15,15,1,Quarter 1,2009,16,16
Q1 - 0,0,0,1,Quarter 1,2010,5,5
Q1 - 1,0,1,1,Quarter 1,2010,2,2
Q1 - 2,0,2,1,Quarter 1,2010,11,11
Q1 - 3,3,3,1,Quarter 1,2010,16,16
Q1 - 4,3,4,1,Quarter 1,2010,15,15
Q1 - 5,3,5,1,Quarter 1,2010,20,20
Q1 - 6,6,6,1,Quarter 1,2010,15,15
Q1 - 7,6,7,1,Quarter 1,2010,15,15
Q1 - 8,6,8,1,Quarter 1,2010,17,17
Q1 - 9,9,9,1,Quarter 1,2010,16,16
Q1 - 10,9,10,1,Quarter 1,2010,23,23
Q1 - 11,9,11,1,Quarter 1,2010,23,23
Q1 - 12,12,12,1,Quarter 1,2010,14,14
Q1 - 13,12,13,1,Quarter 1,2010,25,25
Q1 - 14,12,14,1,Quarter 1,2010,20,20
Q1 - 15,15,15,1,Quarter 1,2010,16,16
Q1 - 0,0,0,1,Quarter 1,2011,4,4
Q1 - 1,0,1,1,Quarter 1,2011,4,4
Q1 - 2,0,2,1,Quarter 1,2011,11,11
Q1 - 3,3,3,1,Quarter 1,2011,12,12
Q1 - 4,3,4,1,Quarter 1,2011,11,11
Q1 - 5,3,5,1,Quarter 1,2011,18,18
Q1 - 6,6,6,1,Quarter 1,2011,24,24
Q1 - 7,6,7,1,Quarter 1,2011,18,18
Q1 - 8,6,8,1,Quarter 1,2011,16,16
Q1 - 9,9,9,1,Quarter 1,2011,21,21
Q1 - 10,9,10,1,Quarter 1,2011,26,26
Q1 - 11,9,11,1,Quarter 1,2011,11,11
Q1 - 12,12,12,1,Quarter 1,2011,27,27
Q1 - 13,12,13,1,Quarter 1,2011,17,17
Q1 - 14,12,14,1,Quarter 1,2011,19,19
Q1 - 15,15,15,1,Quarter 1,2011,20,20
Q1 - 0,0,0,1,Quarter 1,2012,8,8
Q1 - 1,0,1,1,Quarter 1,2012,5,5
Q1 - 2,0,2,1,Quarter 1,2012,9,9
Q1 - 3,3,3,1,Quarter 1,2012,11,11
Q1 - 4,3,4,1,Quarter 1,2012,19,19
Q1 - 5,3,5,1,Quarter 1,2012,24,24
Q1 - 6,6,6,1,Quarter 1,2012,18,18
Q1 - 7,6,7,1,Quarter 1,2012,16,16
Q1 - 8,6,8,1,Quarter 1,2012,21,21
Q1 - 9,9,9,1,Quarter 1,2012,17,17
Q1 - 10,9,10,1,Quarter 1,2012,15,15
Q1 - 11,9,11,1,Quarter 1,2012,21,21
Q1 - 12,12,12,1,Quarter 1,2012,31,31
Q1 - 13,12,13,1,Quarter 1,2012,17,17
Q1 - 14,12,14,1,Quarter 1,2012,19,19
Q1 - 15,15,15,1,Quarter 1,2012,23,23
Q1 - 0,0,0,1,Quarter 1,2013,4,4
Q1 - 1,0,1,1,Quarter 1,2013,8,8
Q1 - 2,0,2,1,Quarter 1,2013,10,10
Q1 - 3,3,3,1,Quarter 1,2013,14,14
Q1 - 4,3,4,1,Quarter 1,2013,14,14
Q1 - 5,3,5,1,Quarter 1,2013,26,26
Q1 - 6,6,6,1,Quarter 1,2013,24,24
Q1 - 7,6,7,1,Quarter 1,2013,20,20
Q1 - 8,6,8,1,Quarter 1,2013,16,16
Q1 - 9,9,9,1,Quarter 1,2013,18,18
Q1 - 10,9,10,1,Quarter 1,2013,20,20
Q1 - 11,9,11,1,Quarter 1,2013,18,18
Q1 - 12,12,12,1,Quarter 1,2013,18,18
Q1 - 13,12,13,1,Quarter 1,2013,24,24
Q1 - 14,12,14,1,Quarter 1,2013,25,25
